% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 91.28    0.140326          33      4170           read
  0.19    0.000299           4        73           close
  0.12    0.000183           3        51           write
  0.19    0.000291           6        45         9 openat
  0.09    0.000135           3        39           statx
  6.25    0.009603         259        37         2 bpf
  0.08    0.000119           4        27           brk
  0.03    0.000039           2        18           mmap
  0.01    0.000017           2         8         6 lseek
  0.00    0.000000           0         8         7 newfstatat
  0.10    0.000155          25         6           mremap
  0.00    0.000000           0         5           mprotect
  1.45    0.002225         445         5           munmap
  0.00    0.000000           0         5           rt_sigaction
  0.00    0.000004           1         4           fstat
  0.00    0.000000           0         3           sigaltstack
  0.00    0.000006           3         2           rt_sigprocmask
  0.00    0.000000           0         2           pread64
  0.20    0.000300         150         2           perf_event_open
  0.00    0.000000           0         2           prlimit64
  0.00    0.000003           1         2           getrandom
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000002           2         1           uname
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           sched_getaffinity
  0.01    0.000019          19         1           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.153726          33      4525        25 total
