% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 21.89    2.610595           7    331544           read
  7.98    0.952400           5    175354     35800 openat
  4.26    0.508703           3    139726           close
  0.85    0.100927           2     34253           fcntl
  0.85    0.101086           3     31317           fstat
  1.20    0.143658           5     26441           getdents64
  0.34    0.040847           3     12452           capget
  0.54    0.064655           7      9064        90 newfstatat
  0.07    0.008294           6      1374        19 readlinkat
  0.03    0.003220           2      1292           write
  0.02    0.002710           4       594       344 faccessat2
  0.02    0.002104           4       434           poll
  0.01    0.001304           3       407           rt_sigprocmask
  0.01    0.001053           4       230       178 readlink
  0.55    0.065475         385       170           lseek
  0.01    0.001237           7       167           socket
  0.02    0.001794          10       167           connect
  0.01    0.000884           5       167           sendto
  0.01    0.000846           7       111           brk
  0.00    0.000378           5        70           mmap
  0.00    0.000091           1        63           rt_sigaction
  0.00    0.000072           2        36         6 ioctl
  0.00    0.000089           4        19           mprotect
  0.00    0.000060           5        12         4 access
  0.00    0.000027           2        11         4 prctl
  0.00    0.000012           2         6           pread64
  0.00    0.000012           2         5           getuid
  0.00    0.000009           2         4           getgid
  0.00    0.000008           2         4           geteuid
  0.00    0.000008           2         4           getegid
  0.00    0.000009           2         4           set_robust_list
  0.00    0.000009           2         4           prlimit64
  0.00    0.000008           2         3           dup2
  0.00    0.000005           1         3           getpid
  0.00    0.000330         110         3           execve
  0.00    0.000005           1         3           getppid
  0.00    0.000005           1         3           arch_prctl
  0.00    0.000005           1         3           set_tid_address
  0.00    0.000006           2         3           getrandom
  0.00    0.000005           1         3           rseq
  0.00    0.000157          78         2           munmap
  0.00    0.000007           3         2           dup
 61.32    7.314776     3657388         2         1 wait4
  0.00    0.000008           4         2         2 mkdir
  0.00    0.000010           5         2           statfs
  0.00    0.000000           0         2           futex
  0.00    0.000003           3         1           recvmsg
  0.00    0.000000           0         1           clone
  0.00    0.000000           0         1           uname
  0.00    0.000003           3         1           getpgrp
  0.00    0.000026          26         1           setsid
  0.00    0.000000           0         1           getresuid
  0.00    0.000000           0         1           getresgid
  0.00    0.000004           4         1           capset
  0.00    0.000011          11         1           clock_nanosleep
  0.00    0.000000           0         1           signalfd4
------ ----------- ----------- --------- --------- ----------------
100.00   11.927950          15    765552     36448 total
