% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 87.19    0.083123          20      4098           read
  0.32    0.000303           4        73           close
  0.16    0.000157           3        51           write
  0.39    0.000373           8        45         9 openat
  0.16    0.000148           3        39           statx
  9.44    0.009004         243        37         2 bpf
  0.08    0.000081           3        27           brk
  0.19    0.000184          10        18           mmap
  0.06    0.000053           6         8         6 lseek
  0.03    0.000033           4         8         7 newfstatat
  0.03    0.000033           5         6           mremap
  0.05    0.000047           9         5           mprotect
  1.46    0.001390         278         5           munmap
  0.02    0.000019           3         5           rt_sigaction
  0.02    0.000015           3         4           fstat
  0.01    0.000008           2         3           sigaltstack
  0.00    0.000004           2         2           rt_sigprocmask
  0.01    0.000008           4         2           pread64
  0.30    0.000286         143         2           perf_event_open
  0.01    0.000008           4         2           prlimit64
  0.01    0.000005           2         2           getrandom
  0.01    0.000005           5         1           poll
  0.01    0.000006           6         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000003           3         1           uname
  0.00    0.000002           2         1           arch_prctl
  0.00    0.000004           4         1           gettid
  0.00    0.000004           4         1           sched_getaffinity
  0.02    0.000019          19         1           getdents64
  0.00    0.000004           4         1           set_tid_address
  0.00    0.000004           4         1           set_robust_list
  0.00    0.000004           4         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.095337          21      4453        25 total
