% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 86.02    0.079470          19      4068           read
  0.60    0.000556           7        73           close
  0.17    0.000161           3        51           write
  0.33    0.000302           6        45         9 openat
  0.17    0.000159           4        39           statx
  9.95    0.009192         248        37         2 bpf
  0.10    0.000096           3        27           brk
  0.04    0.000040           2        18           mmap
  0.02    0.000022           2         8         6 lseek
  0.00    0.000000           0         8         7 newfstatat
  0.10    0.000096          16         6           mremap
  0.00    0.000000           0         5           mprotect
  2.11    0.001953         390         5           munmap
  0.00    0.000000           0         5           rt_sigaction
  0.00    0.000004           1         4           fstat
  0.00    0.000002           0         3           sigaltstack
  0.01    0.000008           4         2           rt_sigprocmask
  0.00    0.000000           0         2           pread64
  0.32    0.000294         147         2           perf_event_open
  0.00    0.000000           0         2           prlimit64
  0.00    0.000004           2         2           getrandom
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000002           2         1           uname
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           sched_getaffinity
  0.03    0.000024          24         1           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.092385          20      4423        25 total
