% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 19.87    5.748931           8    701313           read
  7.88    2.279345           6    359041     37785 openat
  4.58    1.326020           4    321460           close
  1.43    0.413990           3    131799           fcntl
  1.54    0.444309           3    128797           fstat
  1.59    0.460549           4     95876           getdents64
  0.57    0.165650           8     19468        90 newfstatat
  0.17    0.048996           3     12990           capget
  0.15    0.044739           7      6350        19 readlinkat
  0.00    0.001422           1      1210           write
  0.01    0.003243           5       594       344 faccessat2
  0.01    0.002742           5       461           poll
  0.01    0.001453           3       397           rt_sigprocmask
  0.00    0.001443           6       230       178 readlink
  0.01    0.001868           9       199           socket
  0.01    0.002678          13       199           connect
  0.00    0.001316           6       199           sendto
  0.24    0.069816         410       170           lseek
  0.01    0.002127          12       166           brk
  0.00    0.000477           6        70           mmap
  0.00    0.000133           2        63           rt_sigaction
  0.00    0.000172           4        36         6 ioctl
  0.00    0.000104           5        19           mprotect
  0.00    0.000054           4        12         4 access
  0.00    0.000030           2        11         4 prctl
  0.00    0.000010           1         6           pread64
  0.00    0.000009           1         5           getuid
  0.00    0.000007           1         4           getgid
  0.00    0.000007           1         4           geteuid
  0.00    0.000006           1         4           getegid
  0.00    0.000008           2         4           set_robust_list
  0.00    0.000011           2         4           prlimit64
  0.00    0.000000           0         3           dup2
  0.00    0.000007           2         3           getpid
  0.00    0.000602         200         3           execve
  0.00    0.000008           2         3           getppid
  0.00    0.000007           2         3           arch_prctl
  0.00    0.000008           2         3           set_tid_address
  0.00    0.000009           3         3           getrandom
  0.00    0.000010           3         3           rseq
  0.00    0.000000           0         2           munmap
  0.00    0.000008           4         2           dup
 61.90   17.910957     8955478         2         1 wait4
  0.00    0.000010           5         2         2 mkdir
  0.00    0.000011           5         2           statfs
  0.00    0.000004           2         2           futex
  0.00    0.000003           3         1           recvmsg
  0.00    0.000123         123         1           clone
  0.00    0.000004           4         1           uname
  0.00    0.000001           1         1           getpgrp
  0.00    0.000000           0         1           setsid
  0.00    0.000007           7         1           getresuid
  0.00    0.000003           3         1           getresgid
  0.00    0.000003           3         1           capset
  0.00    0.000000           0         1           clock_nanosleep
  0.00    0.000009           9         1           signalfd4
------ ----------- ----------- --------- --------- ----------------
100.00   28.933459          16   1781207     38433 total
