% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 20.51    3.286680           7    449561           read
  7.87    1.261616           5    242414     36297 openat
  4.51    0.723445           3    206292           close
  1.22    0.194938           2     68814           fcntl
  1.27    0.203520           3     65881           fstat
  1.48    0.236765           4     53295           getdents64
  0.50    0.080152           6     13046        90 newfstatat
  0.25    0.039457           3     12605           capget
  0.11    0.016833           5      3308        19 readlinkat
  0.01    0.001601           1      1280           write
  0.02    0.002452           4       594       344 faccessat2
  0.01    0.002063           4       435           poll
  0.01    0.001538           3       403           rt_sigprocmask
  0.00    0.000667           2       230       178 readlink
  0.39    0.062061         365       170           lseek
  0.01    0.001055           6       170           socket
  0.01    0.001463           8       170           connect
  0.00    0.000747           4       170           sendto
  0.01    0.000932           6       140           brk
  0.00    0.000020           0        70           mmap
  0.00    0.000068           1        63           rt_sigaction
  0.00    0.000081           2        36         6 ioctl
  0.00    0.000000           0        19           mprotect
  0.00    0.000028           2        12         4 access
  0.00    0.000012           1        11         4 prctl
  0.00    0.000000           0         6           pread64
  0.00    0.000003           0         5           getuid
  0.00    0.000000           0         4           getgid
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         4           getegid
  0.00    0.000000           0         4           set_robust_list
  0.00    0.000000           0         4           prlimit64
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         3           getpid
  0.00    0.000000           0         3           execve
  0.00    0.000000           0         3           getppid
  0.00    0.000000           0         3           arch_prctl
  0.00    0.000000           0         3           set_tid_address
  0.00    0.000000           0         3           getrandom
  0.00    0.000000           0         3           rseq
  0.00    0.000000           0         2           munmap
  0.00    0.000009           4         2           dup
 61.83    9.908899     4954449         2         1 wait4
  0.00    0.000008           4         2         2 mkdir
  0.00    0.000009           4         2           statfs
  0.00    0.000000           0         2           futex
  0.00    0.000004           4         1           recvmsg
  0.00    0.000000           0         1           clone
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         1           getpgrp
  0.00    0.000000           0         1           setsid
  0.00    0.000000           0         1           getresuid
  0.00    0.000000           0         1           getresgid
  0.00    0.000004           4         1           capset
  0.00    0.000000           0         1           clock_nanosleep
  0.00    0.000000           0         1           signalfd4
------ ----------- ----------- --------- --------- ----------------
100.00   16.027130          14   1119266     36945 total
