% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 21.49    2.615195           7    352314           read
  7.87    0.957604           5    188430     35760 openat
  4.34    0.528426           3    152851           close
  0.95    0.115391           2     41061           fcntl
  0.97    0.117516           3     38118           fstat
  1.29    0.156454           4     32058           getdents64
  0.32    0.039085           3     12425           capget
  0.52    0.063531           6      9866        90 newfstatat
  0.08    0.009746           5      1783        19 readlinkat
  0.02    0.002615           1      1336           write
  0.02    0.002476           4       594       344 faccessat2
  0.02    0.002055           4       447           poll
  0.01    0.001461           3       415           rt_sigprocmask
  0.01    0.001143           4       230       178 readlink
  0.01    0.001137           6       176           socket
  0.01    0.001616           9       176           connect
  0.01    0.000836           4       176           sendto
  0.50    0.061057         359       170           lseek
  0.01    0.000800           7       113           brk
  0.00    0.000520           7        70           mmap
  0.00    0.000082           1        63           rt_sigaction
  0.00    0.000135           3        36         6 ioctl
  0.00    0.000181           9        19           mprotect
  0.00    0.000055           4        12         4 access
  0.00    0.000043           3        11         4 prctl
  0.00    0.000022           3         6           pread64
  0.00    0.000007           1         5           getuid
  0.00    0.000004           1         4           getgid
  0.00    0.000002           0         4           geteuid
  0.00    0.000002           0         4           getegid
  0.00    0.000009           2         4           set_robust_list
  0.00    0.000012           3         4           prlimit64
  0.00    0.000000           0         3           dup2
  0.00    0.000004           1         3           getpid
  0.00    0.000210          70         3           execve
  0.00    0.000005           1         3           getppid
  0.00    0.000009           3         3           arch_prctl
  0.00    0.000009           3         3           set_tid_address
  0.00    0.000009           3         3           getrandom
  0.00    0.000009           3         3           rseq
  0.00    0.000155          77         2           munmap
  0.00    0.000007           3         2           dup
 61.55    7.490229     3745114         2         1 wait4
  0.00    0.000010           5         2         2 mkdir
  0.00    0.000010           5         2           statfs
  0.00    0.000003           1         2           futex
  0.00    0.000005           5         1           recvmsg
  0.00    0.000082          82         1           clone
  0.00    0.000000           0         1           uname
  0.00    0.000002           2         1           getpgrp
  0.00    0.000000           0         1           setsid
  0.00    0.000000           0         1           getresuid
  0.00    0.000000           0         1           getresgid
  0.00    0.000007           7         1           capset
  0.00    0.000000           0         1           clock_nanosleep
  0.00    0.000006           6         1           signalfd4
------ ----------- ----------- --------- --------- ----------------
100.00   12.169989          14    833027     36408 total
