% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 91.36    0.140609          33      4260           read
  0.33    0.000502           6        73           close
  0.13    0.000197           3        51           write
  0.25    0.000383           8        45         9 openat
  0.11    0.000172           4        39           statx
  6.24    0.009611         259        37         2 bpf
  0.05    0.000070           2        27           brk
  0.08    0.000120           6        18           mmap
  0.03    0.000047           5         8         6 lseek
  0.02    0.000035           4         8         7 newfstatat
  0.06    0.000100          16         6           mremap
  0.02    0.000030           6         5           mprotect
  1.08    0.001667         333         5           munmap
  0.01    0.000015           3         5           rt_sigaction
  0.01    0.000013           3         4           fstat
  0.01    0.000010           3         3           sigaltstack
  0.00    0.000005           2         2           rt_sigprocmask
  0.00    0.000006           3         2           pread64
  0.17    0.000258         129         2           perf_event_open
  0.00    0.000006           3         2           prlimit64
  0.00    0.000006           3         2           getrandom
  0.00    0.000005           5         1           poll
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000003           3         1           uname
  0.00    0.000003           3         1           arch_prctl
  0.00    0.000003           3         1           gettid
  0.00    0.000003           3         1           sched_getaffinity
  0.01    0.000020          20         1           getdents64
  0.00    0.000003           3         1           set_tid_address
  0.00    0.000003           3         1           set_robust_list
  0.00    0.000003           3         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.153908          33      4615        25 total
