% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 21.04    2.738463           7    379590           read
  7.85    1.021890           4    204576     35603 openat
  4.41    0.574424           3    169137           close
  1.06    0.138344           2     49812           fcntl
  1.09    0.142195           3     46868           fstat
  1.37    0.178850           4     38976           getdents64
  0.29    0.038157           3     12406           capget
  0.51    0.066666           6     10841        90 newfstatat
  0.09    0.011304           4      2268        19 readlinkat
  0.01    0.001560           1      1282           write
  0.02    0.002365           3       594       344 faccessat2
  0.01    0.001800           4       416           poll
  0.01    0.001230           3       387           rt_sigprocmask
  0.01    0.000873           3       230       178 readlink
  0.47    0.060757         357       170           lseek
  0.01    0.000948           5       159           socket
  0.01    0.001323           8       159           connect
  0.01    0.000736           4       159           sendto
  0.01    0.000709           5       122           brk
  0.00    0.000374           5        70           mmap
  0.00    0.000114           1        63           rt_sigaction
  0.00    0.000050           1        36         6 ioctl
  0.00    0.000093           4        19           mprotect
  0.00    0.000040           3        12         4 access
  0.00    0.000031           2        11         4 prctl
  0.00    0.000014           2         6           pread64
  0.00    0.000011           2         5           getuid
  0.00    0.000010           2         4           getgid
  0.00    0.000011           2         4           geteuid
  0.00    0.000010           2         4           getegid
  0.00    0.000008           2         4           set_robust_list
  0.00    0.000009           2         4           prlimit64
  0.00    0.000000           0         3           dup2
  0.00    0.000008           2         3           getpid
  0.00    0.000481         160         3           execve
  0.00    0.000008           2         3           getppid
  0.00    0.000009           3         3           arch_prctl
  0.00    0.000010           3         3           set_tid_address
  0.00    0.000007           2         3           getrandom
  0.00    0.000010           3         3           rseq
  0.00    0.000234         117         2           munmap
  0.00    0.000006           3         2           dup
 61.71    8.034317     4017158         2         1 wait4
  0.00    0.000009           4         2         2 mkdir
  0.00    0.000009           4         2           statfs
  0.00    0.000003           1         2           futex
  0.00    0.000004           4         1           recvmsg
  0.00    0.000000           0         1           clone
  0.00    0.000003           3         1           uname
  0.00    0.000003           3         1           getpgrp
  0.00    0.000000           0         1           setsid
  0.00    0.000003           3         1           getresuid
  0.00    0.000003           3         1           getresgid
  0.00    0.000004           4         1           capset
  0.00    0.000000           0         1           clock_nanosleep
  0.00    0.000000           0         1           signalfd4
------ ----------- ----------- --------- --------- ----------------
100.00   13.018500          14    918440     36251 total
