% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 87.87    0.071544          17      4062           read
  0.60    0.000487           6        73           close
  0.20    0.000166           3        51           write
  0.47    0.000381           8        45         9 openat
  0.17    0.000135           3        39           statx
  8.03    0.006541         176        37         2 bpf
  0.07    0.000054           2        27           brk
  0.18    0.000145           8        18           mmap
  0.05    0.000041           5         8         6 lseek
  0.05    0.000038           4         8         7 newfstatat
  0.04    0.000031           5         6           mremap
  0.04    0.000031           6         5           mprotect
  1.81    0.001471         294         5           munmap
  0.02    0.000016           3         5           rt_sigaction
  0.01    0.000012           3         4           fstat
  0.01    0.000009           3         3           sigaltstack
  0.00    0.000000           0         2           rt_sigprocmask
  0.01    0.000007           3         2           pread64
  0.31    0.000250         125         2           perf_event_open
  0.01    0.000006           3         2           prlimit64
  0.00    0.000004           2         2           getrandom
  0.00    0.000004           4         1           poll
  0.01    0.000006           6         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000002           2         1           uname
  0.00    0.000003           3         1           arch_prctl
  0.00    0.000003           3         1           gettid
  0.00    0.000003           3         1           sched_getaffinity
  0.02    0.000019          19         1           getdents64
  0.00    0.000003           3         1           set_tid_address
  0.00    0.000003           3         1           set_robust_list
  0.00    0.000003           3         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.081418          18      4417        25 total
